Reason1,Reason2,Reason3,Reason4,Month_value,Day_of_week,Transportation_Expense,Distance_to_Work,Age,Daily_Work_Load_Average,Body_Mass_Index,Education,Children,Pets,Probability,Prediction
0,0,0,1,7,7,289,36,33,239.554,30,0,2,1,0.589706,1
0,0,0,0,7,14,118,13,50,239.554,31,0,1,0,0.0845089,0
0,0,0,1,7,15,179,51,38,239.554,31,0,0,0,0.219957,0
1,0,0,0,7,16,279,5,39,239.554,24,0,2,0,0.891181,1
0,0,0,1,7,23,289,36,33,239.554,30,0,2,1,0.564958,1
0,0,0,1,7,10,179,51,38,239.554,31,0,0,0,0.225444,0
0,0,0,1,7,17,361,52,28,239.554,27,0,1,4,0.457003,0
0,0,0,1,7,24,260,50,36,239.554,23,0,4,0,0.59218,1
0,0,1,0,7,6,155,12,34,239.554,25,0,2,0,0.74515,1
0,0,0,1,7,13,235,11,37,239.554,29,1,1,1,0.40484,0
1,0,0,0,7,20,260,50,36,239.554,23,0,4,0,0.913891,1
1,0,0,0,7,14,260,50,36,239.554,23,0,4,0,0.916838,1
1,0,0,0,7,15,260,50,36,239.554,23,0,4,0,0.916354,1
1,0,0,0,7,15,179,51,38,239.554,31,0,0,0,0.667709,1
0,0,0,1,7,15,179,51,38,239.554,31,0,0,0,0.219957,0
1,0,0,0,7,17,246,25,41,239.554,23,0,0,0,0.725313,1
0,0,0,1,7,17,179,51,38,239.554,31,0,0,0,0.217789,0
0,0,1,0,7,27,179,51,38,239.554,31,0,0,0,0.660892,1
1,0,0,0,7,30,189,29,33,239.554,25,0,2,2,0.663615,1
0,0,0,1,8,5,248,25,47,205.917,32,0,2,1,0.466959,0
1,0,0,0,8,12,330,16,28,205.917,25,1,0,0,0.91494,1
1,0,0,0,8,3,179,51,38,205.917,31,0,0,0,0.681949,1
1,0,0,0,8,10,361,52,28,205.917,27,0,1,4,0.861111,1
0,0,0,1,8,14,260,50,36,205.917,23,0,4,0,0.604728,1
0,0,1,0,8,17,289,36,33,205.917,30,0,2,1,0.908665,1
0,0,0,1,8,24,361,52,28,205.917,27,0,1,4,0.443252,0
0,0,0,1,8,4,289,36,33,205.917,30,0,2,1,0.591602,1
0,0,0,1,8,12,157,27,29,205.917,22,0,0,0,0.150067,0
0,0,1,0,8,19,289,36,33,205.917,30,0,2,1,0.907607,1
0,0,0,1,8,28,179,51,38,205.917,31,0,0,0,0.204318,0
0,0,1,0,8,17,179,51,38,205.917,31,0,0,0,0.672495,1
0,0,1,0,8,27,235,29,48,205.917,33,0,1,5,0.579191,1
0,0,0,1,8,27,235,11,37,205.917,29,1,1,1,0.381006,0
0,0,1,0,8,17,235,29,48,205.917,33,0,1,5,0.594561,1
0,0,0,1,8,17,179,51,38,205.917,31,0,0,0,0.21589,0
0,0,0,1,8,17,361,52,28,205.917,27,0,1,4,0.45423,0
0,0,0,1,8,4,289,36,33,205.917,30,0,2,1,0.591602,1
1,0,0,0,8,20,291,50,32,205.917,23,0,0,0,0.810778,1
0,0,0,1,8,21,235,29,48,205.917,33,0,1,5,0.160869,0
0,0,0,1,8,28,260,50,36,205.917,23,0,4,0,0.583326,1
0,0,0,1,9,1,184,42,27,241.476,21,0,0,0,0.192052,0
0,0,0,1,9,7,118,10,37,241.476,28,0,0,0,0.139917,0
0,0,0,1,9,1,179,51,38,241.476,31,0,0,0,0.238696,0
0,0,1,0,9,8,235,20,43,241.476,38,0,1,0,0.889997,1
0,0,0,1,9,9,155,12,34,241.476,25,0,2,0,0.281291,0
